,address_full,lat,lon,bike_score,transit_score,walk_score
529,202 E 23rd St Houston 77008,29.8072744,-95.3934331,64,45,65
530,2020 Fulton St Houston 77009,29.8105075,-95.3698173,48,57,42
531,2020 Sabine Houston 77007,29.7609681,-95.3753195,76,87,73
532,2020 Sabine Houston 77007,29.7609681,-95.3753195,76,87,73
533,2022 Sabine Houston 77007,29.7609681,-95.3753195,76,87,73
534,2023 Hewitt Houston 77018,29.830128,-95.444715,43,35,41
535,203 E 32nd St Houston 77018,29.815568,-95.394657,65,39,62
536,203 Riley Ln Houston 77003,,,,,
537,204 E 26th St Houston 77008,29.811219,-95.383754,59,47,64
538,2046 Marnel Rd Houston 77055,29.812562,-95.498279,52,33,67
539,205 Cottage St Houston 77009,29.7924999,-95.3684155,49,59,61
540,205 E 32nd St Houston 77018,29.815568,-95.394657,65,39,62
541,205 Riley Ln Houston 77003,,,,,
542,205 Vincent St Houston 77009,29.7981221,-95.3729898,50,56,66
543,207 Coronado Houston 77009,29.7999966,-95.3746943,56,56,62
544,207 Detering St Houston 77007,29.780593,-95.415933,54,39,54
545,207 E 23rd St Houston 77008,29.8072744,-95.3934331,64,45,65
546,207 E 23rd St Houston 77008,29.8072744,-95.3934331,64,45,65
547,207 E 32nd St Houston 77018,29.815568,-95.394657,65,39,62
548,207 Morris Houston 77009,29.782516,-95.362834,64,66,79
549,209  1/2 E Woodland St Houston 77009,,,,,
550,209  1/2 E Woodland St Houston 77009,29.786479,-95.368718,62,60,70
551,209 A Burr Houston 77011,,,,,
552,209 F Burr Houston 77011,29.748773,-95.324606,66,61,55
553,210 Blueberry St Houston 77018,29.824664,-95.4013,60,47,55
554,210 Marathon St Houston 77018,29.821906,-95.401839,59,45,55
555,2102 Millwood Dr Houston 77008,29.804694,-95.440071,55,38,51
556,2102 Webster Houston 77003,29.735713,-95.349091,63,60,59
557,2106 Oatfield Dr Houston 77018,,,,,
558,2106 Oatfield Dr Houston 77018,,,,,
559,2108 Couch Street Houston 77008,29.807695,-95.42583,70,35,66
560,2110 Althea Dr Houston 77018,29.825827,-95.43708,64,40,54
561,2110 Brooktree Dr Houston 77008,29.804694,-95.440071,55,38,51
562,2111 Gardenia Dr Houston 77018,29.827032,-95.424159,62,43,55
563,2111 Marion St Houston 77009,29.779336,-95.356499,66,64,73
564,2111 Oatfield Houston 77018,,,,,
565,2112 Couch Street Houston 77008,29.807695,-95.42583,70,35,66
566,2112 Reinerman St  B Houston 77007,,,,,
567,2112 Reinerman St  B Houston 77007,,,,,
568,2112 Reinerman St  B Houston 77007,,,,,
569,2113 Decatur St Houston 77007,29.7669608,-95.37827,75,56,75
570,2113 Detering Houston 77007,29.780593,-95.415933,54,39,54
571,2113 Detering Houston 77007,29.780593,-95.415933,54,39,54
572,2113 St Charles St Houston 77003,29.755026,-95.346869,77,81,73
573,2115 Woodcrest Dr Houston 77018,29.822843,-95.441242,59,40,47
574,2115 Woodcrest Dr Houston 77018,29.822843,-95.441242,59,40,47
575,2119 Stacy Knoll Houston 77008,,,,,
576,212 Gale St Houston 77009,29.8056871,-95.3610309,65,55,60
577,2120 Gentry St Houston 77009,29.779567,-95.35962,67,65,75
578,2125 Roy  D Houston 77007,,,,,
579,2125 Roy  D Houston 77007,,,,,
580,2125 Roy  D Houston 77007,,,,,
581,2126 Saxon Dr Houston 77018,29.827596,-95.447718,51,35,42
582,2126 Saxon Dr Houston 77018,29.827596,-95.447718,51,35,42
583,213 E 27 Houston 77008,,,,,
584,215 W Norma St #104 Houston 77009,,,,,
585,216 Burr St Houston 77011,29.745657,-95.326612,69,67,53
586,216 Detering St  E Houston 77007,,,,,
587,216 E Super Houston 77011,29.746722,-95.3294912,70,67,56
588,218 Eastwood St Houston 77011,29.7474279,-95.3303133,72,66,65
589,218 N Native Ln Houston 77022,,,,,
590,219 H&I W 27th Street Houston 77008,29.8104344,-95.4262748,59,33,51
591,219 H W 27th Street Houston 77008,29.8104344,-95.4262748,59,33,51
592,"219 H,I W 27th Street Houston 77008",,,,,
593,219 Marsden St Houston 77011,29.741306,-95.312658,69,63,63
594,219 Plaza Del Sol Park Houston 77020,,,,,
595,2203 Bethlehem Houston 77018,29.837219,-95.432958,47,41,31
